Title,Company,Location,Salary,Requirements,Link
Senior Python Developer,AZM Squad -,"Cairo,Egypt",Confidential,"5+ years of experience as aPython Back-end Developer.Strong experience withDjango, Flask, and/or FastAPI.Mandatory experience with Keycloak(authentication & authorization).Mandatory experience with OpenEdXplatform.Solid understanding of microservices architecture.Strong experience with databases (SQL & NoSQL).Experience with Docker and CI/CD pipelines is a plus.",/jobs/p/2cxtb2ki4nnb-senior-python-developer-azm-squad-cairo-egypt
Mid Level Rest API Django Python Developer,Software House Solution  -,"Heliopolis,Cairo,Egypt",Confidential,"2-7 years of professional experience in backend development with a focus on Django and Python.Proven expertise in designing and building RESTful APIs.Solid understanding of object-oriented programming and software design patterns.Experience with relational databases such as PostgreSQL or MySQL.Familiarity with version control systems, particularly Git.Ability to work effectively in a fast-paced, collaborative, and open office environment.Strong problem-solving skills and attention to detail.Excellent communication and teamwork abilities.Experience with API security, authentication, and authorization mechanisms.Ability to manage multiple tasks and prioritize effectively.",/jobs/p/fy3mf1q9byul-mid-level-rest-api-django-python-developer-software-house-solution-cairo-egypt
Python Developer (CAD Automation),StoryGold -,"San Francisco,United States",Confidential,Proficiency in EnglishProficiency in PythonExcellent communiation skills and attention to detail,/jobs/p/bgeuvxwt0vqw-python-developer-cad-automation-storygold-san-francisco-united-states
Senior Python Developer,Hesaab -,"Riyadh,Saudi Arabia",Confidential,"المؤهلات المطلوبة:بكالوريوس في علوم الحاسب، هندسة البرمجيات، أو مجال ذو صلة.إتقان إحدى لغات البرمجة مثل:Java, Python, Node.js.خبرة في تقنياتالواجهات الأمامية(React أو Angular ).معرفة قوية في قواعد البيانات (SQL / NoSQL).خبرة في استخدام أنظمة التحكم بالإصدارات (Git, GitLab, GitHub).إلمام بمفاهيم التكامل بين الأنظمة (APIs، Web Services، Microservices).مهارات تحليل وحل المشكلات.المهارات الشخصية:قدرة عالية على التواصل والعمل ضمن فريق.إدارة الوقت والالتزام بالمواعيد النهائية.التفكير الابتكاري وإيجاد الحلول.Requirements:Bachelor’s degree in Computer Science, Software Engineering, or related field.Proficiency in one or more programming languages:Java, , Python, Node.js.Experience withfrontend technologies(React, Angular).Strong knowledge of databases (SQL / NoSQL).Experience with version control systems (Git, GitLab, GitHub).Familiarity with system integration concepts (APIs, Web Services, Microservices).Strong problem-solving and analytical skills.Soft Skills:Excellent communication and teamwork abilities.Strong time management and commitment to deadlines.Creativity and solution-oriented mindset.",/saudi/jobs/p/ixoxupowzpav-senior-python-developer-hesaab-riyadh-saudi-arabia
Software Engineer Manager - Python,Agency -,"Cairo,Egypt",Confidential,"Minimum of 6 years of professional experience in Python development (Must)Experience using Linux system Ubuntu (Must)Proven track record in designing and building scalable backend systems.Experience working remotely and managing tasks independently.Strong understanding of RESTful APIs and microservices architecture.Familiarity with relational and NoSQL databases such as PostgreSQL, MySQL, or MongoDB.Excellent problem-solving skills and attention to detail.Ability to work night shifts and adapt to flexible schedules.Strong communication and collaboration skills.Experience with version control systems, preferably Git.Demonstrated ability to mentor and support team members.",/jobs/p/t7nzqnvmj6pc-software-engineer-manager-python-agency-cairo-egypt
Python Developer,Digizilla -,"Nasr City,Cairo,Egypt",Confidential,"◽️ Bachelor's degree in Computer Science or a related field◽️ Strong understanding of Python programming language fundamentals◽️ Experience with web frameworks such as Django or Flask◽️ Familiarity with front-end technologies like HTML, CSS, and JavaScript◽️ Knowledge of version control systems (e.g., Git)◽️ Strong problem-solving skills and attention to detail◽️ Excellent communication and teamwork abilities",/jobs/p/yeifb6qizaxc-python-developer-digizilla-cairo-egypt
Backend Engineer (Python / AI & ML Focus),Tutanic -,"Smouha,Alexandria,Egypt",Confidential,"Requirements:Strong Python experience with backend frameworks (FastAPI, Flask, Django).Knowledge of async programming, API design, and database integration (SQL & NoSQL).Familiarity with cloud deployment (AWS preferred).Nice-to-Have:Experience with AI/ML model integration and production pipelines.Exposure to LLMs, NLP, semantic search, or other AI applications.Familiarity with Node.js or full-stack services.",/jobs/p/9ww1msznn69o-backend-engineer-python-ai-ml-focus-tutanic-alexandria-egypt
Full Stack Developer,InfoPeak Software   -,"Maadi,Cairo,Egypt",Confidential,"Bachelor’s degree in Computer Science, Engineering, or related field2-4 years of experienceJob-Specific Skills:Extensive experience  ASP.NET core, MS SQL Server, C# and experience in html , CSS ,java script and Angular are an asset,Proven experience with application architectureProven knowledge of design patterns, distributed systems, and integration testingProven knowledge of python, AI, and database SQL server",/jobs/p/c6ywmgnoczzk-full-stack-developer-infopeak-software-cairo-egypt
Software Developer,Bimmovate -,"New Cairo,Cairo,Egypt",Confidential,"Must‑Have SkillsStrong experience withC# and .NET (Framework and .NET 6/7+)Hands‑on development using theRevit API(commands, transactions, parameters, collectors, families, geometry)Practical experience integrating withAutodesk Platform Services (APS/Forge)Understanding ofACC/BIM 360, Data Management, Model Derivative, and WebhooksExperience building workflows withMicrosoft Power AutomateSolid knowledge of REST APIs, JSON, authentication, and secure token flowsGit version control and familiarity with DevOps/CI workflowsExcellent problem‑solving and communication skills, with an understanding of AEC/BIM processesNice-to-HaveWPF/XAML (MVVM) for add‑in UIDynamo, Python, or pyRevit scriptingSQL databases, Azure Functions, or cloud automationPower BI integration or data modeling experienceKnowledge of construction, coordination workflows, or MEP/Electrical modeling",/jobs/p/gcd72e4h0avg-software-developer-bimmovate-cairo-egypt
ERP Next Developer,DALWA COMPANY  -,"Sheraton,Cairo,Egypt",Confidential,"Proven experience inERPNext development(minimum 2 years preferred).Strong knowledge ofPython, Frappe Framework, JavaScript, and SQL.Good understanding of core business processes (Sales, Purchase, Inventory, Accounting, HR).Ability to work remotely and deliver tasks on time.",/jobs/p/4369tdaojpqp-erp-next-developer-dalwa-company-cairo-egypt
